date,lat,lon,place_name,product_name,price,unit,quote_id
"Apr 14, 2020",40.2338,-111.6585,"Provo, Utah",methamphetamine (powder/crystal),$25,1/16oz (teener) rock/crystal,365551
"Apr 14, 2020",40.1150,-111.6549,"Spanish Fork, Utah",Adderall,$10,30mg pill,365550
"Apr 14, 2020",40.1150,-111.6549,"Spanish Fork, Utah",clonazepam,$3.50,2mg pill,365549
"Apr 14, 2020",29.7633,-95.3633,"Houston, Texas",Adderall,$7,30mg pill,365548
"Apr 5, 2020",29.7633,-95.3633,"Houston, Texas",Vyvanse,$10,30mg pill,364631
"Apr 2, 2020",29.7633,-95.3633,"Houston, Texas",Adderall,$5,30mg pill,364293
"Apr 14, 2020",34.7416,-92.5049,Arkansas,Adderall,$1,10mg pill,365547
"Apr 14, 2020",34.7416,-92.5049,Arkansas,Adderall XR (generic),$15,15mg pill,365546
"Apr 14, 2020",34.7416,-92.5049,Arkansas,methylphenidate,$6,36mg pill,365545
"Apr 13, 2020",34.7416,-92.5049,Arkansas,Focalin,$5,10mg pill,365397
"Apr 8, 2020",34.7416,-92.5049,Arkansas,Adderall,$15,30mg pill,364947
"Apr 8, 2020",34.7416,-92.5049,Arkansas,methamphetamine (powder/crystal),$43,1/4g (quarter) rock/crystal,364891
"Apr 7, 2020",34.7416,-92.5049,Arkansas,Adipex-P,$4,37.5mg pill,364801
"Apr 3, 2020",34.7416,-92.5049,Arkansas,morphine,$10,15mg pill,364408
"Apr 3, 2020",34.7416,-92.5049,Arkansas,methadone,$5,10mg pill,364346
"Apr 14, 2020",36.1750,-115.1372,"Las Vegas, Nevada",Valium,$4,10mg pill,365544
"Apr 8, 2020",36.1750,-115.1372,"Las Vegas, Nevada",Adderall,$5,30mg pill,364935
"Apr 7, 2020",36.1750,-115.1372,"Las Vegas, Nevada",Norco,$2,10mg/325mg pill,364822
"Apr 7, 2020",36.1750,-115.1372,"Las Vegas, Nevada",generic Xanax,$10,2mg pill,364797
"Apr 5, 2020",36.1750,-115.1372,"Las Vegas, Nevada",oxycodone IR pill,$30,30mg pill,364580
"Apr 4, 2020",36.1750,-115.1372,"Las Vegas, Nevada",methamphetamine (powder/crystal),$10,1g rock/crystal,364441
"Apr 3, 2020",36.1750,-115.1372,"Las Vegas, Nevada",alprazolam,$2,1mg pill,364355
"Apr 2, 2020",36.1750,-115.1372,"Las Vegas, Nevada",hydrocodone tablet (unsure if IR or ER),$4,5mg/200mg pill,364256
"Apr 14, 2020",30.4616,-87.3150,"Bellview, Florida",hydromorphone IR tablet (generic Dilaudid),$5,2mg pill,365543
"Apr 14, 2020",42.0003,-93.5157,Iowa,methylphenidate IR tablet (generic Ritalin),$1,5mg pill,365542
"Apr 11, 2020",42.0003,-93.5157,Iowa,Adderall (generic),$25,10mg pill,365248
"Apr 6, 2020",42.0003,-93.5157,Iowa,Vyvanse,$3,30mg pill,364742
"Apr 2, 2020",42.0003,-93.5157,Iowa,morphine pill,$5,15mg pill,364337
"Apr 14, 2020",40.0107,-86.2647,Indiana,Adderall,$5,20mg pill,365541
"Apr 14, 2020",40.0107,-86.2647,Indiana,gabapentin,$8,600mg pill,365530
"Apr 12, 2020",40.0107,-86.2647,Indiana,Adderall,$30,30mg pill,365274
"Apr 9, 2020",40.0107,-86.2647,Indiana,Adderall,$4,20mg pill,365062
"Apr 7, 2020",40.0107,-86.2647,Indiana,hydrocodone/acetaminophen tablet (generic Vicodin),$1.50,5mg/325mg pill,364853
"Apr 5, 2020",40.0107,-86.2647,Indiana,"oxycodone / acetaminophen tablet (generic Percocet, Percodan, Tylox)",$10,5mg/325mg pill,364577
"Apr 14, 2020",37.2502,-119.7503,California,Concerta,$50,54mg pill,365539
"Apr 14, 2020",37.2502,-119.7503,California,Focalin,$10,10mg pill,365532
"Apr 13, 2020",37.2502,-119.7503,California,pregabalin,$10,150mg pill,365438
"Apr 13, 2020",37.2502,-119.7503,California,Concerta,$10,54mg pill,365367
"Apr 12, 2020",37.2502,-119.7503,California,chlordiazepoxide,$5,25mg pill,365272
"Apr 11, 2020",37.2502,-119.7503,California,morphine oral solution,$20,20mg/mL syrup/liquid,365158
"Apr 10, 2020",37.2502,-119.7503,California,Adderall XR,$5,20mg pill,365128
"Apr 10, 2020",37.2502,-119.7503,California,Hydroxyzine tablet,$7,10mg pill,365127
"Apr 10, 2020",37.2502,-119.7503,California,Adderall,$10,30mg pill,365120
"Apr 10, 2020",37.2502,-119.7503,California,"oxycodone / acetaminophen tablet (generic Percocet, Percodan, Tylox)",$6.50,10mg/325mg pill,365083
"Apr 9, 2020",37.2502,-119.7503,California,temazepam,$15,15mg pill,365013
"Apr 9, 2020",37.2502,-119.7503,California,Adderall,$10,30mg pill,365012
"Apr 6, 2020",37.2502,-119.7503,California,Adderall,$5,20mg pill,364737
"Apr 6, 2020",37.2502,-119.7503,California,diazepam,$2,5mg pill,364718
"Apr 6, 2020",37.2502,-119.7503,California,hydrocodone,$4,7.5mg/325mg pill,364709
"Apr 6, 2020",37.2502,-119.7503,California,hydroxychloroquine,$200,200mg pill,364656
"Apr 5, 2020",37.2502,-119.7503,California,generic Xanax,$3,0.5mg pill,364637
"Apr 5, 2020",37.2502,-119.7503,California,alprazolam,$5,0.5mg pill,364636
"Apr 5, 2020",37.2502,-119.7503,California,morphine pill,$7,15mg pill,364564
"Apr 4, 2020",37.2502,-119.7503,California,hydrocodone/acetaminophen tablet (generic Vicodin),$10,5mg/300mg pill,364498
"Apr 3, 2020",37.2502,-119.7503,California,fluoxetine,$2,20mg pill,364413
"Apr 3, 2020",37.2502,-119.7503,California,Adderall,$10,20mg pill,364401
"Apr 3, 2020",37.2502,-119.7503,California,zolpidem,$2,5mg pill,364394
"Apr 2, 2020",37.2502,-119.7503,California,hydromorphone ER tablet (generic ER Exalgo),$10,16mg pill,364279
"Apr 2, 2020",37.2502,-119.7503,California,hydromorphone ER tablet (generic ER Exalgo),$10,16mg pill,364277
"Apr 2, 2020",37.2502,-119.7503,California,codeine,$1,60mg pill,364253
"Apr 1, 2020",37.2502,-119.7503,California,Viagra,$20,50mg pill,364175
"Apr 1, 2020",37.2502,-119.7503,California,Roxicodone tablet,$5,5mg pill,364167
"Apr 14, 2020",26.1223,-80.1434,"Ft Lauderdale, Florida",morphine ER pill,$5,30mg pill,365537
"Apr 14, 2020",33.6603,-117.9992,"Huntington Beach, California",Focalin XR,$12,10mg pill,365536
"Apr 14, 2020",38.5816,-121.4944,"Sacramento, California",Hydroxyzine tablet,$1,50mg pill,365535
"Apr 14, 2020",38.5816,-121.4944,"Sacramento, California",benzodiazepines,$4, pill,365523
"Apr 14, 2020",38.5816,-121.4944,"Sacramento, California",generic Xanax,$4,0.5mg pill,365498
"Apr 12, 2020",38.5816,-121.4944,"Sacramento, California",fentanyl patch,$65,75mcg/h patch,365284
"Apr 10, 2020",38.5816,-121.4944,"Sacramento, California",Suboxone (film),$5,8mg/2mg film,365155
"Apr 10, 2020",38.5816,-121.4944,"Sacramento, California",morphine pill,$20,30mg pill,365145
"Apr 9, 2020",38.5816,-121.4944,"Sacramento, California",methadone  tablet,$20,10mg pill,365063
"Apr 8, 2020",38.5816,-121.4944,"Sacramento, California",methamphetamine (powder/crystal),$60,1/8oz (8-ball) rock/crystal,364906
"Apr 1, 2020",38.5816,-121.4944,"Sacramento, California",Cialis,$10,20mg pill,364136
"Apr 14, 2020",37.2707,-76.7075,"Williamsburg, Virginia",methadone oral solution,$80,10mg/mL (1L bottle) syrup/liquid,365534
"Apr 14, 2020",28.1495,-81.6504,Florida,"oxycodone / acetaminophen tablet (generic Percocet, Percodan, Tylox)",$20,5mg/300mg pill,365533
"Apr 14, 2020",28.1495,-81.6504,Florida,methadone  tablet,$10,10mg pill,365480
"Apr 13, 2020",28.1495,-81.6504,Florida,generic Klonopin,$5,1mg pill,365369
"Apr 11, 2020",28.1495,-81.6504,Florida,generic Xanax,$5,2mg pill,365220
"Apr 9, 2020",28.1495,-81.6504,Florida,Adderall,$5,30mg pill,365025
"Apr 9, 2020",28.1495,-81.6504,Florida,oxycodone ER tablet,$5,5mg pill,365010
"Apr 9, 2020",28.1495,-81.6504,Florida,Adderall,$15,30mg pill,364982
"Apr 8, 2020",28.1495,-81.6504,Florida,Viagra,$35,25mg pill,364915
"Apr 8, 2020",28.1495,-81.6504,Florida,hydrocodone/acetaminophen tablet (generic Vicodin),$10,10mg/325mg pill,364912
"Apr 7, 2020",28.1495,-81.6504,Florida,oxycodone ER tablet by Mallinckrodt,$20,15mg pill,364782
"Apr 6, 2020",28.1495,-81.6504,Florida,sildenafil,$15,100mg pill,364712
"Apr 6, 2020",28.1495,-81.6504,Florida,Vyvanse,$12,40mg pill,364694
"Apr 6, 2020",28.1495,-81.6504,Florida,oxycodone,$30,30mg pill,364653
"Apr 5, 2020",28.1495,-81.6504,Florida,methylphenidate ER tablet (generic Ritalin LA),$5,10mg pill,364599
"Apr 5, 2020",28.1495,-81.6504,Florida,Adderall XR,$65,20mg pill,364598
"Apr 5, 2020",28.1495,-81.6504,Florida,morphine ER pill,$10,30mg pill,364585
"Apr 4, 2020",28.1495,-81.6504,Florida,Adderall,$7,20mg pill,364478
"Apr 3, 2020",28.1495,-81.6504,Florida,Adderall (generic),$2,10mg pill,364382
"Apr 3, 2020",28.1495,-81.6504,Florida,Adderall (generic),$2,10mg pill,364381
"Apr 1, 2020",28.1495,-81.6504,Florida,Adderall,$6,30mg pill,364172
"Apr 1, 2020",28.1495,-81.6504,Florida,Adzenys XR-ODT,$1.17,12.5mg pill,364154
"Apr 14, 2020",31.2409,-99.2286,Texas,Vyvanse,$30,50mg pill,365531
"Apr 13, 2020",31.2409,-99.2286,Texas,Provigil,$5,200mg pill,365459
"Apr 11, 2020",31.2409,-99.2286,Texas,escitalopram pill,$5,5mg pill,365159
"Apr 10, 2020",31.2409,-99.2286,Texas,duloxetine,$4,20mg pill,365071
"Apr 9, 2020",31.2409,-99.2286,Texas,Lyrica tablet,$5,100mg pill,365034
"Apr 8, 2020",31.2409,-99.2286,Texas,Adderall,$30,30mg pill,364931
"Apr 8, 2020",31.2409,-99.2286,Texas,Xanax,$3,1mg pill,364865
"Apr 7, 2020",31.2409,-99.2286,Texas,Vicodin,$5,5mg/300mg pill,364804
"Apr 6, 2020",31.2409,-99.2286,Texas,codeine,$5,30mg/300mg pill,364731
"Apr 6, 2020",31.2409,-99.2286,Texas,Adderall,$20,30mg pill,364703
"Apr 6, 2020",31.2409,-99.2286,Texas,methamphetamine (powder/crystal),$60,1/16oz (teener) rock/crystal,364655
"Apr 5, 2020",31.2409,-99.2286,Texas,morphine ER pill,$30,60mg pill,364638
"Apr 5, 2020",31.2409,-99.2286,Texas,Xanax,$5,1mg pill,364560
"Apr 4, 2020",31.2409,-99.2286,Texas,Adderall,$20,20mg pill,364500
"Apr 4, 2020",31.2409,-99.2286,Texas,gabapentin,$10,300mg pill,364496
"Apr 3, 2020",31.2409,-99.2286,Texas,gabapentin,$3,300mg pill,364378
"Apr 2, 2020",31.2409,-99.2286,Texas,Adderall,$7,30mg pill,364283
"Apr 2, 2020",31.2409,-99.2286,Texas,diazepam,$5,5mg pill,364220
"Apr 1, 2020",31.2409,-99.2286,Texas,Viagra,$5,100mg pill,364194
"Apr 1, 2020",31.2409,-99.2286,Texas,Adderall (generic),$8,30mg pill,364138
"Apr 14, 2020",30.5405,-88.6875,"Vancleave, Mississippi",Belbuca,$7.50,75mcg film,365529
"Apr 14, 2020",40.3769,-111.7958,"American Fork, Utah",amphetamine pill,$10,20mg pill,365528
"Apr 14, 2020",40.1788,-74.3555,New Jersey,Adderall,$10,10mg pill,365527
"Apr 13, 2020",40.1788,-74.3555,New Jersey,generic Valium,$5,10mg pill,365453
"Apr 11, 2020",40.1788,-74.3555,New Jersey,Adderall,$4,30mg pill,365182
"Apr 10, 2020",40.1788,-74.3555,New Jersey,morphine oral solution,$5,20mg/5mL syrup/liquid,365084
"Apr 8, 2020",40.1788,-74.3555,New Jersey,MDMA (Molly),$20,100mg capsule,364892
"Apr 4, 2020",40.1788,-74.3555,New Jersey,Xanax,$6,2mg pill,364463
"Apr 3, 2020",40.1788,-74.3555,New Jersey,"OxyContin (new OP, hard to crush)",$40,80mg pill,364420
"Apr 3, 2020",40.1788,-74.3555,New Jersey,"OxyContin (new OP, hard to crush)",$40,80mg pill,364419
"Apr 3, 2020",40.1788,-74.3555,New Jersey,duloxetine,$5,30mg pill,364379
"Apr 2, 2020",40.1788,-74.3555,New Jersey,Adderall,$6,20mg pill,364255
"Apr 14, 2020",33.7515,-84.7477,"Douglasville, Georgia",Adderall (generic),$6,20mg pill,365525
"Apr 9, 2020",33.7515,-84.7477,"Douglasville, Georgia",generic Xanax,$3,1mg pill,365023
"Apr 14, 2020",35.2271,-80.8431,"Charlotte, North Carolina",Adderall,$10,20mg pill,365522
"Apr 12, 2020",35.2271,-80.8431,"Charlotte, North Carolina",trazodone,$20,300mg pill,365330
"Apr 10, 2020",35.2271,-80.8431,"Charlotte, North Carolina",methamphetamine (powder/crystal),$50,1/8oz (8-ball) rock/crystal,365142
"Apr 9, 2020",35.2271,-80.8431,"Charlotte, North Carolina",Xanax,$10,1mg pill,365017
"Apr 14, 2020",37.7749,-122.4194,"San Francisco, California",Adderall (generic),$20,10mg pill,365521
"Apr 13, 2020",37.7749,-122.4194,"San Francisco, California",generic Klonopin,$3,2mg pill,365427
"Apr 12, 2020",37.7749,-122.4194,"San Francisco, California",morphine ER pill,$20,30mg pill,365291
"Apr 12, 2020",37.7749,-122.4194,"San Francisco, California",Dilaudid tablet (generic),$20,4mg pill,365277
"Apr 10, 2020",37.7749,-122.4194,"San Francisco, California",Ambien,$10,10mg pill,365121
"Apr 9, 2020",37.7749,-122.4194,"San Francisco, California",Ativan,$7,2mg pill,365046
"Apr 9, 2020",37.7749,-122.4194,"San Francisco, California",Ativan,$7,2mg pill,365044
"Apr 9, 2020",37.7749,-122.4194,"San Francisco, California",Ativan,$7,2mg pill,365043
"Apr 9, 2020",37.7749,-122.4194,"San Francisco, California",Ativan,$6,2mg pill,365041
"Apr 7, 2020",37.7749,-122.4194,"San Francisco, California",Vyvanse,$10,40mg pill,364817
"Apr 5, 2020",37.7749,-122.4194,"San Francisco, California",Adderall,$11,20mg pill,364607
"Apr 14, 2020",36.7070,-97.0856,"Ponca City, Oklahoma",Seroquel,$4,100mg pill,365520
"Apr 14, 2020",36.7070,-97.0856,"Ponca City, Oklahoma",generic Klonopin,$2,0.5mg pill,365519
"Apr 14, 2020",39.3995,-84.5613,"Hamilton oh, Ohio",generic Valium,$10,10mg pill,365518
"Apr 8, 2020",39.3995,-84.5613,"Hamilton oh, Ohio",Vyvanse,$11.20,40mg pill,364950
"Apr 14, 2020",33.7490,-84.3880,"Atlanta, Georgia",Viagra,$16,100mg pill,365517
"Apr 12, 2020",33.7490,-84.3880,"Atlanta, Georgia",Adderall XR,$3,30mg pill,365349
"Apr 12, 2020",33.7490,-84.3880,"Atlanta, Georgia",Adderall,$10,15mg pill,365294
"Apr 12, 2020",33.7490,-84.3880,"Atlanta, Georgia",oxycodone,$200,2.44mg/325mg pill,365263
"Apr 10, 2020",33.7490,-84.3880,"Atlanta, Georgia",Adderall,$7,20mg pill,365111
"Apr 9, 2020",33.7490,-84.3880,"Atlanta, Georgia",Percocet,$10,10mg/650mg pill,365064
"Apr 6, 2020",33.7490,-84.3880,"Atlanta, Georgia",Dilaudid tablet,$5,4mg pill,364702
"Apr 3, 2020",33.7490,-84.3880,"Atlanta, Georgia","oxycodone / acetaminophen tablet (generic Percocet, Percodan, Tylox)",$10,10mg/325mg pill,364431
"Apr 3, 2020",33.7490,-84.3880,"Atlanta, Georgia",methadone wafer/disc,$20,40mg ,364418
"Apr 3, 2020",33.7490,-84.3880,"Atlanta, Georgia",Adderall,$10,15mg pill,364363
"Apr 2, 2020",33.7490,-84.3880,"Atlanta, Georgia",morphine ER pill,$10,30mg pill,364271
"Apr 2, 2020",33.7490,-84.3880,"Atlanta, Georgia",morphine ER pill,$10,30mg pill,364269
"Apr 14, 2020",47.4272,-92.9377,"Hibbing, Minnesota",oxycodone pill,$10,5mg pill,365516
